Date,Moon,Sun,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,DateSort
16-01-2010,Aquarius,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra ,Pisces,Aquarius,Capricorn,2010-01-16
17-01-2010,Aquarius,Capricorn,Capricorn,Capricorn,Leo ,Aquarius,Libra ,Pisces,Aquarius,Capricorn,2010-01-17
18-01-2010,Aquarius,Capricorn,Capricorn,,Leo ,,Libra ,Pisces,Aquarius,Capricorn,2010-01-18
19-01-2010,Pisces,Capricorn,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-19
20-01-2010,Pisces,Capricorn,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-20
21-01-2010,Aries,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-21
22-01-2010,Aries,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-22
23-01-2010,Aries,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-23
24-01-2010,Taurusu,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-24
25-01-2010,Taurusu,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-25
26-01-2010,Gemini,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-26
27-01-2010,Gemini,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-27
28-01-2010,Cancer,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-28
29-01-2010,Cancer,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-29
30-01-2010,Leo,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-30
31-01-2010,Leo,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-01-31
01-02-2010,Virgo,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-01
02-02-2010,Virgo,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-02
03-02-2010,Libra,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-03
04-02-2010,Libra,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-04
05-02-2010,Scorpio,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-05
06-02-2010,Scorpio,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-06
07-02-2010,Scorpio,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-07
08-02-2010,Sagittarius,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-08
09-02-2010,Sagittarius,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-09
10-02-2010,Capricorn,Aquarius,Capricorn,Aquarius,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-10
11-02-2010,Capricorn,Aquarius,Aquarius,,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-11
12-02-2010,Capricorn,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-12
13-02-2010,Aquarius,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-13
14-02-2010,Aquarius,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-14
15-02-2010,Pisces,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-15
16-02-2010,Pisces,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-16
17-02-2010,Pisces,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-17
18-02-2010,Aries,Aquarius,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-18
19-02-2010,Aries,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-19
20-02-2010,Taurusu,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-20
21-02-2010,Taurusu,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-21
22-02-2010,Gemini,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-22
23-02-2010,Gemini,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-23
24-02-2010,Gemini,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-24
25-02-2010,Cancer,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-25
26-02-2010,Cancer,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-26
27-02-2010,Leo,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-27
28-02-2010,Leo,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-02-28
01-03-2010,Virgo,Pisces,Aquarius,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-01
02-03-2010,Virgo,Pisces,Pisces,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-02
03-03-2010,Libra,Pisces,Pisces,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-03
04-03-2010,Libra,Pisces,Pisces,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-04
05-03-2010,Scorpio,Pisces,Pisces,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-05
06-03-2010,Scorpio,Pisces,Pisces,Pisces,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-06
07-03-2010,Sagittarius,Pisces,Pisces,,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-07
08-03-2010,Sagittarius,Pisces,Pisces,Aries,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-08
09-03-2010,Capricorn,Pisces,Pisces,Aries,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-09
10-03-2010,Capricorn,Pisces,Pisces,Aries,Leo ,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-10
11-03-2010,Capricorn,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-11
12-03-2010,Aquarius,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-12
13-03-2010,Aquarius,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-13
14-03-2010,Pisces,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-14
15-03-2010,Pisces,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-15
16-03-2010,Pisces,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-16
17-03-2010,Aries,Pisces,Pisces,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-17
18-03-2010,Aries,Pisces,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-18
19-03-2010,Taurusu,Pisces,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-19
20-03-2010,Taurusu,Pisces,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-20
21-03-2010,Taurusu,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-21
22-03-2010,Gemini,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-22
23-03-2010,Gemini,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-23
24-03-2010,Cancer,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-24
25-03-2010,Cancer,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-25
26-03-2010,Leo,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-26
27-03-2010,Leo,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-27
28-03-2010,Virgo,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-28
29-03-2010,Virgo,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-29
30-03-2010,Libra,Aries,Aries,Aries,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-30
31-03-2010,Libra,Aries,Aries,,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-03-31
01-04-2010,Scorpio,Aries,Aries,Taurusu,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-04-01
02-04-2010,Scorpio,Aries,Aries,Taurusu,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-04-02
03-04-2010,Sagittarius,Aries,Taurusu,Taurusu,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-04-03
04-04-2010,Sagittarius,Aries,Taurusu,Taurusu,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-04-04
05-04-2010,Sagittarius,Aries,Taurusu,Taurusu,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn,2010-04-05
06-04-2010,Capricorn,Aries,Taurusu,Taurusu,Leo,Pisces,Libra ,Pisces,Aquarius,Capricorn ,2010-04-06
07-04-2010,Capricorn,Aries,Taurusu,Taurusu,Leo,Pisces,,Pisces,Aquarius,Capricorn ,2010-04-07
08-04-2010,Aquarius,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-08
09-04-2010,Aquarius,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-09
10-04-2010,Aquarius,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-10
11-04-2010,Pisces,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-11
12-04-2010,Pisces,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-12
13-04-2010,Aries,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-13
14-04-2010,Aries,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-14
15-04-2010,Aries,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-15
16-04-2010,Taurusu,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-16
17-04-2010,Taurusu,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-17
18-04-2010,Gemini,Aries,,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-18
19-04-2010,Gemini,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-19
20-04-2010,Cancer,Aries,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-20
21-04-2010,Cancer,Taurusu,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-21
22-04-2010,Leo,Taurusu,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-22
23-04-2010,Leo,Taurusu,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-23
24-04-2010,Virgo,Taurusu,Taurusu,Taurusu,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-24
25-04-2010,Virgo,Taurusu,Taurusu,,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-25
26-04-2010,Libra,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-26
27-04-2010,Libra,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-27
28-04-2010,Libra,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-28
29-04-2010,Scorpio,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-29
30-04-2010,Scorpio,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-04-30
01-05-2010,Sagittarius,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-01
02-05-2010,Sagittarius,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-02
03-05-2010,Capricorn,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-03
04-05-2010,Capricorn,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-04
05-05-2010,Aquarius,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-05
06-05-2010,Aquarius,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-06
07-05-2010,Aquarius,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-07
08-05-2010,Pisces,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-08
09-05-2010,Pisces,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-09
10-05-2010,Aries,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-10
11-05-2010,Aries,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-11
12-05-2010,Aries,Taurusu,,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-12
13-05-2010,Taurusu,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-13
14-05-2010,Taurusu,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-14
15-05-2010,Gemini,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-15
16-05-2010,Gemini,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-16
17-05-2010,Cancer,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-17
18-05-2010,Cancer,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-18
19-05-2010,Leo,Taurusu,Taurusu,Gemini,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-19
20-05-2010,Leo,Taurusu,Taurusu,,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-20
21-05-2010,Leo,Taurusu,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-21
22-05-2010,Virgo,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-22
23-05-2010,Virgo,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-23
24-05-2010,Libra,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-24
25-05-2010,Libra,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-25
26-05-2010,Scorpio,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-26
27-05-2010,Scorpio,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Pisces,Aquarius,Capricorn ,2010-05-27
28-05-2010,Sagittarius,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,,Aquarius,Capricorn ,2010-05-28
29-05-2010,Sagittarius,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Aries,Aquarius,Capricorn ,2010-05-29
30-05-2010,Capricorn,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo ,Aries,Aquarius,Capricorn ,2010-05-30
31-05-2010,Capricorn,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo,Aries,Aquarius ,Capricorn ,2010-05-31
01-06-2010,Capricorn,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo,Aries,Aquarius ,Capricorn ,2010-06-01
02-06-2010,Aquarius,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo,Aries,Aquarius ,Capricorn ,2010-06-02
03-06-2010,Aquarius,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo,Aries,Aquarius ,Capricorn ,2010-06-03
04-06-2010,Pisces,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo,Aries,Aquarius ,Capricorn ,2010-06-04
05-06-2010,Pisces,Gemini,Taurusu,Cancer,Leo,Pisces,Virgo,Aries,Aquarius ,Capricorn ,2010-06-05
06-06-2010,Pisces,Gemini,Taurusu,Cancer,Leo,,Virgo,Aries,Aquarius ,Capricorn ,2010-06-06
07-06-2010,Aries,Gemini,Taurusu,Cancer,,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-07
08-06-2010,Aries,Gemini,Taurusu,Cancer,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-08
09-06-2010,Taurusu,Gemini,Taurusu,Cancer,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-09
10-06-2010,Taurusu,Gemini,Taurusu,Cancer,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-10
11-06-2010,Taurusu,Gemini,Gemini,Cancer,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-11
12-06-2010,Gemini,Gemini,Gemini,Cancer,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-12
13-06-2010,Gemini,Gemini,Gemini,Cancer,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-13
14-06-2010,Cancer,Gemini,Gemini,,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-14
15-06-2010,Cancer,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-15
16-06-2010,Leo,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-16
17-06-2010,Leo,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-17
18-06-2010,Virgo,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-18
19-06-2010,Virgo,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-19
20-06-2010,Libra,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-20
21-06-2010,Libra,Gemini,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-21
22-06-2010,Scorpio,Cancer,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-22
23-06-2010,Scorpio,Cancer,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-23
24-06-2010,Sagittarius,Cancer,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-24
25-06-2010,Sagittarius,Cancer,Gemini,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-25
26-06-2010,Sagittarius,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-26
27-06-2010,Capricorn,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-27
28-06-2010,Capricorn,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-28
29-06-2010,Aquarius,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-29
30-06-2010,Aquarius,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-06-30
01-07-2010,Aquarius,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-07-01
02-07-2010,Pisces,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-07-02
03-07-2010,Pisces,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-07-03
04-07-2010,Aries,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries,Aquarius ,Capricorn ,2010-07-04
05-07-2010,Aries,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-05
06-07-2010,Aries,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-06
07-07-2010,Taurusu,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-07
08-07-2010,Taurusu,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-08
09-07-2010,Gemini,Cancer,Cancer,Leo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-09
10-07-2010,Gemini,Cancer,Leo,,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-10
11-07-2010,Cancer,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-11
12-07-2010,Cancer,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-12
13-07-2010,Leo,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-13
14-07-2010,Leo,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-14
15-07-2010,Virgo,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-15
16-07-2010,Virgo,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-16
17-07-2010,Libra,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-17
18-07-2010,Libra,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-18
19-07-2010,Scorpio,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-19
20-07-2010,Scorpio,Cancer,Leo,Virgo,Virgo,Aries,Virgo,Aries ,Aquarius ,Capricorn ,2010-07-20
21-07-2010,Scorpio,Cancer,Leo,Virgo,Virgo,Aries,,Aries ,Aquarius ,Capricorn ,2010-07-21
22-07-2010,Sagittarius,Cancer,Leo,Virgo,Virgo,Aries,Libra,Aries ,Aquarius ,Capricorn ,2010-07-22
23-07-2010,Sagittarius,Cancer,Leo,Virgo,Virgo,Aries ,Libra,Aries ,Aquarius ,Capricorn ,2010-07-23
24-07-2010,Capricorn,Leo,Leo,Virgo,Virgo,Aries ,Libra,Aries ,Aquarius ,Capricorn ,2010-07-24
25-07-2010,Capricorn,Leo,Leo,Virgo,Virgo,Aries ,Libra,Aries ,Aquarius ,Capricorn ,2010-07-25
26-07-2010,Aquarius,Leo,Leo,Virgo,Virgo,Aries ,Libra,Aries ,Aquarius ,Capricorn ,2010-07-26
